vehicle_id,timestamp,latitude,longitude,speed_m_s,CO,NOx,PM2.5,CO2
DL1PD4684,2025-10-16T19:49:18+05:30,28.585171,77.224388,0.0,0.0,0.0,0.0,0.0
DL1PD5443,2025-10-16T19:49:18+05:30,28.707741,77.227325,0.0,0.0,0.0,0.0,0.0
DL1PD4470,2025-10-16T19:49:18+05:30,28.682774,77.029922,0.0,0.0,0.0,0.0,0.0
DL1PD4982,2025-10-16T19:49:19+05:30,28.578682,77.058907,0.0,0.0,0.0,0.0,0.0
DL1PD5771,2025-10-16T19:49:19+05:30,28.59017,77.082611,0.0,0.0,0.0,0.0,0.0
DL1PD4695,2025-10-16T19:49:19+05:30,28.703465,77.075424,0.0,0.0,0.0,0.0,0.0
DL1PD5845,2025-10-16T19:49:19+05:30,28.624771,77.067535,0.0,0.0,0.0,0.0,0.0
DL1PD4716,2025-10-16T19:49:19+05:30,28.521988,77.082588,0.0,0.0,0.0,0.0,0.0
DL1PD4941,2025-10-16T19:49:19+05:30,28.732252,77.170853,0.0,0.0,0.0,0.0,0.0
DL1PD4743,2025-10-16T19:49:20+05:30,28.557463,77.217331,0.0,0.0,0.0,0.0,0.0
DL1PD6444,2025-10-16T19:49:20+05:30,28.628122,77.278503,0.0,0.0,0.0,0.0,0.0
DL1PD5025,2025-10-16T19:49:20+05:30,28.634953,77.09169,0.0,0.0,0.0,0.0,0.0
DL1PD4568,2025-10-16T19:49:21+05:30,28.682056,77.053581,0.0,0.0,0.0,0.0,0.0
DL1PD5115,2025-10-16T19:49:21+05:30,28.682316,77.063431,0.0,0.0,0.0,0.0,0.0
DL1PD4415,2025-10-16T19:49:21+05:30,28.682018,77.053467,0.0,0.0,0.0,0.0,0.0
DL1PD6452,2025-10-16T19:49:21+05:30,28.682178,77.056412,0.0,0.0,0.0,0.0,0.0
DL1PD5123,2025-10-16T19:49:22+05:30,28.682093,77.051971,0.0,0.0,0.0,0.0,0.0
DL1PD4512,2025-10-16T19:49:22+05:30,28.719337,77.08432,0.0,0.0,0.0,0.0,0.0
DL1PD4885,2025-10-16T19:49:22+05:30,28.688072,77.08699,0.0,0.0,0.0,0.0,0.0
DL1PD4484,2025-10-16T19:49:22+05:30,28.591393,77.167824,0.0,0.0,0.0,0.0,0.0
DL1PD5941,2025-10-16T19:49:23+05:30,28.624508,77.06768,0.0,0.0,0.0,0.0,0.0
DL1PD4594,2025-10-16T19:49:23+05:30,28.616697,77.032295,0.0,0.0,0.0,0.0,0.0
DL1PD4818,2025-10-16T19:49:24+05:30,28.628941,77.186752,0.0,0.0,0.0,0.0,0.0
DL1PD4627,2025-10-16T19:49:24+05:30,28.54837,77.255791,0.0,0.0,0.0,0.0,0.0
DL1PD4540,2025-10-16T19:49:25+05:30,28.592199,77.167503,0.0,0.0,0.0,0.0,0.0
DL1PD5959,2025-10-16T19:49:25+05:30,28.682261,77.058517,0.0,0.0,0.0,0.0,0.0
DL1PD4523,2025-10-16T19:49:25+05:30,28.591278,77.167969,0.0,0.0,0.0,0.0,0.0
DL1PD5942,2025-10-16T19:49:25+05:30,28.625828,77.065643,0.0,0.0,0.0,0.0,0.0
DL1PD4550,2025-10-16T19:49:26+05:30,28.590582,77.168289,0.0,0.0,0.0,0.0,0.0
DL1PD5533,2025-10-16T19:49:26+05:30,28.729223,77.002174,0.0,0.0,0.0,0.0,0.0
DL1PD4790,2025-10-16T19:49:26+05:30,28.708664,77.227226,0.0,0.0,0.0,0.0,0.0
DL1PD5293,2025-10-16T19:49:26+05:30,28.521023,77.08197,0.0,0.0,0.0,0.0,0.0
DL1PD4754,2025-10-16T19:49:26+05:30,28.682234,77.062851,0.0,0.0,0.0,0.0,0.0
DL1PD7353,2025-10-16T19:49:27+05:30,28.585075,77.229019,0.0,0.0,0.0,0.0,0.0
DL1PD4834,2025-10-16T19:49:27+05:30,28.699808,77.034019,0.0,0.0,0.0,0.0,0.0
DL1PD5455,2025-10-16T19:49:27+05:30,28.780781,77.077477,0.0,0.0,0.0,0.0,0.0
DL1PD4478,2025-10-16T19:49:28+05:30,28.727306,77.098534,0.0,0.0,0.0,0.0,0.0
DL1PD4731,2025-10-16T19:49:28+05:30,28.682215,77.05442,0.0,0.0,0.0,0.0,0.0
DL1PD6179,2025-10-16T19:49:28+05:30,28.682346,77.056168,0.0,0.0,0.0,0.0,0.0
DL1PD5693,2025-10-16T19:49:28+05:30,28.541897,77.228012,0.0,0.0,0.0,0.0,0.0
DL1PD5290,2025-10-16T19:49:28+05:30,28.638498,77.252724,0.0,0.0,0.0,0.0,0.0
DL51GD1715,2025-10-16T19:49:29+05:30,28.620514,77.248466,0.0,0.0,0.0,0.0,0.0
DL1PD4704,2025-10-16T19:49:29+05:30,28.682119,77.054024,0.0,0.0,0.0,0.0,0.0
DL1PD5691,2025-10-16T19:49:29+05:30,28.676903,77.114876,0.0,0.0,0.0,0.0,0.0
DL1PD4942,2025-10-16T19:49:29+05:30,28.745567,77.109009,0.0,0.0,0.0,0.0,0.0
DL1PD5951,2025-10-16T19:49:30+05:30,28.682371,77.057655,0.0,0.0,0.0,0.0,0.0
DL1PD5787,2025-10-16T19:49:30+05:30,28.542929,77.071739,0.0,0.0,0.0,0.0,0.0
DL1PD5753,2025-10-16T19:49:30+05:30,28.61058,77.114166,0.0,0.0,0.0,0.0,0.0
DL1PD5755,2025-10-16T19:49:30+05:30,28.569393,77.195625,0.0,0.0,0.0,0.0,0.0
DL1PD5754,2025-10-16T19:49:30+05:30,28.619614,77.01709,0.0,0.0,0.0,0.0,0.0
DL1PD5681,2025-10-16T19:49:30+05:30,28.62409,77.067856,0.0,0.0,0.0,0.0,0.0
DL1PD5992,2025-10-16T19:49:31+05:30,28.619074,77.032494,0.0,0.0,0.0,0.0,0.0
DL1PD5706,2025-10-16T19:49:31+05:30,28.593012,77.121567,0.0,0.0,0.0,0.0,0.0
DL1PD5729,2025-10-16T19:49:31+05:30,28.619202,77.015755,0.0,0.0,0.0,0.0,0.0
DL1PD6144,2025-10-16T19:49:31+05:30,28.623194,77.068321,0.0,0.0,0.0,0.0,0.0
DL1PD5857,2025-10-16T19:49:31+05:30,28.684357,77.008553,0.0,0.0,0.0,0.0,0.0
DL1PD4080,2025-10-16T19:49:31+05:30,28.650337,77.205162,0.0,0.0,0.0,0.0,0.0
DL1PD6137,2025-10-16T19:49:31+05:30,28.624079,77.06794,0.0,0.0,0.0,0.0,0.0
DL1PD5964,2025-10-16T19:49:32+05:30,28.572432,77.257805,0.0,0.0,0.0,0.0,0.0
DL1PD5120,2025-10-16T19:49:32+05:30,28.5849,77.172218,0.0,0.0,0.0,0.0,0.0
DL1PD5705,2025-10-16T19:49:32+05:30,28.625639,77.067863,0.0,0.0,0.0,0.0,0.0
DL1PD7237,2025-10-16T19:49:32+05:30,28.589386,77.229149,0.0,0.0,0.0,0.0,0.0
DL1PD5764,2025-10-16T19:49:33+05:30,28.570259,77.163162,0.0,0.0,0.0,0.0,0.0
DL1PD6039,2025-10-16T19:49:33+05:30,28.623112,77.06842,0.0,0.0,0.0,0.0,0.0
DL1PD5752,2025-10-16T19:49:33+05:30,28.575264,77.116844,0.0,0.0,0.0,0.0,0.0
DL1PD5822,2025-10-16T19:49:33+05:30,28.624594,77.06768,0.0,0.0,0.0,0.0,0.0
DL1PD5029,2025-10-16T19:49:34+05:30,28.625481,77.066536,0.0,0.0,0.0,0.0,0.0
DL1PD5508,2025-10-16T19:49:34+05:30,28.635668,77.220345,0.0,0.0,0.0,0.0,0.0
DL1PD5728,2025-10-16T19:49:34+05:30,28.619576,77.035301,0.0,0.0,0.0,0.0,0.0
DL1PD5717,2025-10-16T19:49:34+05:30,28.616314,77.03228,0.0,0.0,0.0,0.0,0.0
DL1PD5203,2025-10-16T19:49:35+05:30,28.578646,77.058975,0.0,0.0,0.0,0.0,0.0
DL1PD4518,2025-10-16T19:49:35+05:30,28.719614,77.084679,0.0,0.0,0.0,0.0,0.0
DL1PD5683,2025-10-16T19:49:35+05:30,28.622223,77.058105,0.0,0.0,0.0,0.0,0.0
DL1PD5621,2025-10-16T19:49:35+05:30,28.581457,77.174339,0.0,0.0,0.0,0.0,0.0
DL1PD5790,2025-10-16T19:49:35+05:30,28.615709,77.087639,0.0,0.0,0.0,0.0,0.0
DL1PD5745,2025-10-16T19:49:36+05:30,28.556623,77.185013,0.0,0.0,0.0,0.0,0.0
DL1PD4544,2025-10-16T19:49:36+05:30,28.697329,77.141922,0.0,0.0,0.0,0.0,0.0
